,PSN1-parental-1,PSN1-parental-2,PSN1-parental-3,PSN1-maintain-1,PSN1-maintain-2,PSN1-maintain-3,PSN1-withdraw-1,PSN1-withdraw-2,PSN1-withdraw-3
A1BG,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0.183703884160608,0,0.343487098512741,0,0.14471039102118,0.0289329453959704,0
A4GALT,3.05423624746713,2.92883775070463,3.04591574119992,1.75849237277273,2.98212661885193,1.51125189563248,1.14063796319156,0.390805169020394,0.581265058705465
A4GNT,0,0,0,0,0,0,0,0,0
AAAS,6.29610257957822,6.28253167425824,6.32771136221297,5.70024657056034,6.3793567427441,5.66325668061597,6.00242754104654,5.79214000558457,5.94629304588411
AACS,5.53825485466752,5.53804368195002,5.57706055243234,5.5358671964612,5.50175182384535,5.67335181049516,5.23219026378908,5.16689140982197,5.16359505396137
AADAC,2.39098646173946,2.42998086693823,2.46748374508857,2.05204897236999,2.15461769076343,2.29704673684438,2.30829552759956,2.98702340860152,2.29021955123143
AADACL2,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0
AAED1,3.42700626015783,3.24519470571684,3.53516137862447,4.2554138217393,3.72330132562967,4.1065947529122,3.43200809331991,3.35829874160328,3.25546446422464
AAGAB,5.86562093737259,5.95026707191089,6.01763981178283,6.04418788863915,5.83246820292057,5.82050737132104,6.25431490012168,6.13286578991261,6.27964821514777
AAK1,5.83500021067129,5.6902600163711,5.87218182538828,5.76244298643166,4.95341559648201,5.65309041289278,5.51396132377121,5.78644912198998,5.64997582108626
AAMDC,0.13142576417252,0.20424627967512,0.599007602994262,0.98818727084883,2.74580049264235,0.945128973146271,0.0521431094834028,0.128259297660788,0.139307515302893
AAMP,7.50551771828348,7.45478853867568,7.49764472999906,7.53015112412272,7.39357977921067,7.39751071999168,7.87299429431768,7.71280588279506,7.67814280264068
AANAT,0.377915981521148,0.20424627967512,0,0,0.48694429249382,0,0,0,0
